Address,Unit Number,Price,Status,Description,Bathroom Count,Bedroom Count,Property Type,Square Feet,Total Rooms,Listing Agent 1,Listing Agent 2
100 JAY ST,31C,1475000,Sold,"Enjoy spectacular river, skyline and bridge views from this 31st floor two bedroom, two bath condominium home. Located in one of Brooklyn's most vibrant neighborhoods, Dumbo is conveniently located with easy access to the F, A and C lines.  Features of this excellent condition apartment include a roomy balcony, 10' ceilings, floor to ceiling windows, an open state of the art kitchen that includes a garbage disposal , washer/dryer and an abundance of closets. 100 Jay Street's services are exceptional and include a full service staff, a fitness and recreation room, common outdoor spaces, garage facilities , and a tax abatement is also in place through June 2023.  This apartment is not to be missed and shown by appointment.",2,2,Condo,1183,4,maurice.office@corciman.com,
100 NORTH 3RD ST,GRDN 1A,999999,Sold,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here. This amazing OPEN LOFT can easily be converted into a 1 or 2 bedroom. 100 N3rd Street, is a unique and completely sold out condominium building built in 2008.  This special south facing 886 sqft loft is in the back of the building and has a grand open floor plan including a fantastic private 182 sqft decked terrace with glass walls and windows stretching the entire frontage of the apt. The open loft has a great room with massive windows and doors that open directly to a massive south facing garden terrace.   Its grand layout can accommodate a large dining table.  Next to the living space is an Italian designer windowed kitchen showcasing Miele and Liebherr appliances and seamless stainless steel countertops. The alcove space makes for an ideal bedroom and has a walk-in closet. The designer bath features Stark and Duravit soaking tub and Hansgrohe fixtures. White stained maple floors, individual controlled HVAC, private storage and washer and dryer complete this incredible home. In addition to the unique features of this loft, the building has extremely low common charges, tax abatement, bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.",1,1,Condo,886,2.5,lynn.meilus@corciman.com,robynh.shaoul@corciman.com
100 NORTH 3RD ST,2B,1075000,Sold,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here. This amazing 2 bedroom DUPLEX LOFT  the first resale in a successfully sold out building in 2008 -- includes a huge onsite Parking Space, private Storage and a private Roof Cabana. Soaring to 15ft height, this special south facing duplex loft has a grand open floorplan and is flexible to accommodate additional storage built out. The first floor features an open livingroom with massive windows and is large enough for a dining table. Next to it is an Italian designer windowed kitchen showcasing Miele and Liebherr appliances and seamless stainless steel countertops. The main bedroom has a walk-in closet and additional storage built out. The designer bath features Stark and Duravit soaking tub and Hansgrohe fixtures. The architectural spiral staircase leads to an open loft currently used as a 2nd bedroom overlooking the entire loft. White stained maple floors, individual controlled HVAC and washer and dryer complete this incredible home. In addition to the unique features of this loft, the building has extremely low common charges, tax abatement, bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.",1,0,Condo,977,1,markr.nielsen-saaf@corciman.com,sarah.snyder@corciman.com
100 NORTH 3RD ST,3D,6000,Perm Off Mkt,"PRIME WILLIAMSBURG SIX MONTH FULLY FURNISHED RENTAL.   Configured as 2 bedrooms, 2 baths plus a true Mezzanine level, which can easily be used as an additional third bedroom, this 1,505sqft LOFT is located in the heart of Williamsburg's trendy Northside in a boutique residential LOFT building. This special Loft is both North and South facing and is at the end of the building.  The south facing livingroom has a floor to ceiling wall of windows and has access to a private balcony.  This loft features a spacious and flexible layout, 14ft height ceilings, white stained maple floors, chic and seamless Italian kitchens showcasing Miele and Liebherr appliances and seamless stainless steel countertops.  The oversized master ensuite offers double high ceilings, oversized windows and custom built closets with additional storage. The designer bathrooms feature Stark and Duravit soaking tubs and Hansgrohe fixtures. Individually controlled HVAC and washer/dryer complete this incredible home.  The condominium building has bike storage and a common roof deck with spectacular views of the Manhattan skyline, the river and Bridges.",2,2,Condo,1505,4,peter.salton@corciman.com,wendy.ziomek@corciman.com
100 NORTH 3RD ST,GRDN 1A,3750,Rented,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here. This special south facing 886 sqft loft, originally a studio LOFT, is in the back of the building and has a grand open floor plan including a fantastic private 182 sqft decked terrace with glass walls and windows stretching the entire frontage of the apt. The open loft has a great room with massive windows and doors that open directly to a massive south facing garden terrace. Its grand layout can accommodate a large dining table. Next to the living space is an Italian designer windowed kitchen showcasing Miele and Liebherr appliances and seamless stainless steel countertops. The alcove space makes for an ideal bedroom and has a walk-in closet. The designer bathroom is newly renovated with custom white marble tile and an oversized shower featuring a rain showerhead.  White stained maple floors, individual controlled HVAC, private storage and washer and dryer complete this incredible home. In addition to the unique features of this loft, the building has bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.",1,1,Condo,886,2.5,renee.sardella@corciman.com,
100 NORTH 3RD ST,3A,2300000,Temp Off Mkt,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here.  This amazing DUPLEX LOFT was originally a 1,553 sqft 2 bedrooms, 2 baths with a mezzanine loft and has been improved to a 1,748 sqft 3 bedrooms, 2 baths with a mezzanine loft/home office with soaring 15ft ceiling height in the main area, this special south facing duplex has a grand open floor plan and is flexible to accommodate growing needs.  The first floor features an open living room with massive windows and glass doors that opens onto an oversized balcony.  The designer Italian kitchen showcases Miele and Liebherr appliances and a seamless stainless steel countertops and a massive corian type island.  The large master bedroom has an oversized custom closet and offers beautiful light.  The designer master bath features Stark and Duravit soaking tub and Hansgrohe fixtures.  The second bedroom is adjacent to the master suite and is next to the Italian tiled bathroom with a standing shower.  Next to the foyer is the architectural spiral staircase that leads to a large open loft that is currently used as an office.  An additional space beyond the office is used as a guest room with oversized closets.  White stained maple floors, individual controlled HVAC, washer and dryer and a private storage space complete this incredible home.  In addition to the unique features this loft offers, the building has extremely low common charges, tax abatement, bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.  Location could not be better; it is situated on Williamsburgs North 3rd Street, a destination for those who enjoy fine amenities and the best boutiques Williamsburg has to offer.  Come see why this stunning loft is truly a masterpiece!",2,3,Condo,1748,6,richardj.schier@corciman.com,
100 NORTH 3RD ST,3A,6400,Rented,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here.  This amazing DUPLEX LOFT was originally a 1,553 sqft 2 bedrooms, 2 baths with a mezzanine loft and has been improved to a 1,748 sqft 3 bedrooms, 2 baths with a mezzanine loft/home office with soaring 15ft ceiling height in the main area, this special south facing duplex has a grand open floor plan and is flexible to accommodate growing needs.  The first floor features an open living room with massive windows and glass doors that opens onto an oversized balcony.  The designer Italian kitchen showcases Miele and Liebherr appliances and a seamless stainless steel countertops and a massive corian type island.  The large master bedroom has an oversized custom closet and offers beautiful light.  The designer master bath features Stark and Duravit soaking tub and Hansgrohe fixtures.  The second bedroom is adjacent to the master suite and is next to the Italian tiled bathroom with a standing shower.  Next to the foyer is the architectural spiral staircase that leads to a large open loft that is currently used as an office.  An additional space beyond the office is used as a guest room with oversized closets.  White stained maple floors, individual controlled HVAC, washer and dryer and a private storage space complete this incredible home.  In addition to the unique features this loft offers, the building has extremely low common charges, tax abatement, bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.  Location could not be better; it is situated on Williamsburgs North 3rd Street, a destination for those who enjoy fine amenities and the best boutiques Williamsburg has to offer.  Come see why this stunning loft is truly a masterpiece!",2,3,Condo,1748,6,roberta.senterjr.@corciman.com,
100 NORTH 3RD ST,3C,1300000,Sold,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here.  Come see why this stunning designer showcase was recently featured in Architectural Digest Russia as well as 11 other world renowned designer magazines  truly a masterpiece.   This amazing 998 sqft DUPLEX LOFT is currently used as a 1 bedroom plus a legal Mezzanine Loft and comes with an onsite, underground PARKING SPACE.  With soaring 15ft ceiling height, this special south facing duplex loft has a grand open floor plan and is flexible to accommodate additional storage build out.  The first floor features an open living room with massive windows and glass doors that open onto an oversized balcony.  Adjacent to the living room is an Italian designer windowed, eat-in kitchen showcasing Miele and Liebherr appliances and seamless stainless steel countertops.  The main bedroom has an oversized custom closet and also offers beautiful south facing light.  The designer bath features Stark and Duravit soaking tub and Hansgrohe fixtures.  The architectural spiral staircase leads to a legal open loft that can be used as a 2nd bedroom overlooking the entire loft.  White stained maple floors, individual controlled HVAC and washer and dryer complete this incredible home.  In addition to the unique features of this loft, the building has extremely low common charges, tax abatement, bike storage and a common roof deck with views of the Manhattan skyline, the river and bridges.  Location could not be better, situated on Williamsburgs North 3rd Street, a destination for those who enjoy fine taste!",1,2,Condo,998,4,suzanne.torren@corciman.com,
100 NORTH 3RD ST,4D,1635000,Sold,"Your search for an authentic LOFT in Williamsburgs dynamic Northside stops here.  Configured as 2 bedrooms, 2 baths, an additional Mezzanine  plus an office level, this 1469+ sqft resale LOFT condo is located in the heart of Williamsburg's trendy Northside in a boutique residential Loft building. This special Loft is both North and South facing and is at the end of the building.  The south facing livingroom has a floor to ceiling wall of windows with great skyline and has access to a private balcony.  This loft features a spacious and flexible layout, 14ft height ceilings, white stained maple floors, chic and seamless Italian kitchens showcasing Miele and Liebherr appliances and seamless stainless steel countertops.  The oversized master ensuite offers double high ceilings, oversized windows and custom built closets with additional storage. The designer bathrooms feature Stark and Duravit soaking tubs and Hansgrohe fixtures. Individually controlled HVAC and washer/dryer complete this incredible home.  This home comes with a private storage.  The condominium building has bike storage and a common roof deck with spectacular views of the Manhattan skyline, the river and Bridges. Parking is available for purchase separately.",2,2,Condo,1469,4,tim.wexler@corciman.com,
100 Overlook Terrace,812,440000,Sold,"NEWLY PAINTED TOP FLOOR, 2 BEDROOM, WITH A BRAND NEW BATHROOM! The apartment is spacious in size, includes 2 bedrooms and 1 bath with an extremely large living room that measures out to approximately 11'9 x 29'3. This wonderful home has a windowed eat-in kitchen which includes a d/w and fantastic counter space as well as excellent storage. The just renovated bathroom is stunning with new vanity, sink, toilet, reglazed tub, subway tiled walls and beautiful black and white tiled flooring. Other terrific details include great closet space, STUNNING dark stained hardwood floors throughout, as well as the panoramic, open eastern city views. This well-maintained and managed coop has a 24 hour attended lobby, resident superintendent, and 2 central laundry rooms. Currently there are no assessments or flip tax. This building is conveniently located to the ""A & 1"" trains, M4 & M98 express bus lines, Ft. Tryon Park, the Cloisters, shopping, restaurants and so much more. Cats are allowed but sorry, No Dogs.",1,2,Co-op,950,4,joshuar.kenkel@corciman.com,david.derosa@corciman.com
